,Event time,min_a_price,max_b_price,a_quantity,b_quantity,volume_imbalance,mid_price,micro_price,Kline start time,Kline close time,Interval,Open price,Close price,High price,Low price,Base asset volume,Number of trades,Quote asset volume,Taker buy base asset volume,Taker buy quote asset volume
48,2024-05-19 22:44:51.000,66712.94,66724.0,7.8886,0.0,-1.0,66718.47,66724.0,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66724.01,66729.99,66719.8,4.56249,235.0,304429.3880564,2.60978,174129.5664794
49,2024-05-19 22:44:52.000,66712.94,66712.93,8.41487,0.75541,-0.8352482148854778,66712.935,66712.93082375893,,,,,,,,,,,,
50,2024-05-19 22:44:53.000,66712.94,66712.93,8.42007,0.57678,-0.8717817902932693,66712.935,66712.93064109105,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66712.94,66729.99,66712.93,6.24134,292.0,416446.0089672,2.61032,174165.591467
51,2024-05-19 22:44:54.000,66712.94,66712.93,8.41774,0.68439,-0.8496198142632547,66712.935,66712.93075190092,,,,,,,,,,,,
52,2024-05-19 22:44:55.000,66712.94,66712.93,8.41931,0.51864,-0.8839465425517038,66712.935,66712.93058026729,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66712.93,66729.99,66712.93,6.25247,295.0,417188.5239856,2.62107,174882.755572
53,2024-05-19 22:44:56.000,66712.94,66712.93,8.43412,0.41904,-0.9053354960262775,66712.935,66712.93047332251,,,,,,,,,,,,
54,2024-05-19 22:44:57.000,66712.94,66712.93,8.43422,0.51404,-0.8851083897875118,66712.935,66712.93057445805,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66712.93,66729.99,66712.93,6.4403,300.0,429719.213632,2.62152,174912.776395
55,2024-05-19 22:44:58.000,66712.94,66712.93,8.53424,0.51404,-0.8863784056196317,66712.935,66712.93056810796,,,,,,,,,,,,
56,2024-05-19 22:44:59.000,66712.94,66712.93,8.43472,0.61404,-0.864281956864808,66712.935,66712.93067859022,,,,,,,,,,,,
57,2024-05-19 22:45:00.000,66712.94,66712.93,6.38639,0.08709,-0.9730932975771919,66712.935,66712.93013453351,2024-05-19 22:44:00.000000,2024-05-19 22:44:59.999000,1m,66719.8,66712.93,66729.99,66712.93,6.4647,301.0,431347.009124,2.62152,174912.776395
58,2024-05-19 22:45:01.002,66710.01,66712.93,9.8176,0.0,-1.0,66711.47,66712.93,,,,,,,,,,,,
59,2024-05-19 22:45:02.000,66710.01,66710.0,8.11461,1.74166,-0.6465884152930065,66710.005,66710.00176705793,,,,,,,,,,,,
60,2024-05-19 22:45:03.000,66710.01,66710.0,8.25106,1.36346,-0.7163748164234929,66710.005,66710.00141812592,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66710.01,66712.94,66710.01,0.32305,37.0,21551.4247244,0.0449,2995.3148727
61,2024-05-19 22:45:04.000,66710.01,66710.0,8.19952,1.34944,-0.7173639851879158,66710.005,66710.00141318007,,,,,,,,,,,,
62,2024-05-19 22:45:05.000,66710.01,66710.0,8.20438,1.04865,-0.7733391116207339,66710.005,66710.00113330445,,,,,,,,,,,,
63,2024-05-19 22:45:06.004,66708.03,66710.0,8.76601,0.0,-1.0,66709.015,66710.0,2024-05-19 22:45:00.000000,2024-05-19 22:45:59.999000,1m,66712.94,66710.0,66712.94,66710.0,0.43797,40.0,29217.7379244,0.0449,2995.3148727
64,2024-05-19 22:45:07.000,66708.03,66708.02,8.82238,0.84666,-0.8248719624699039,66708.025,66708.02087564018,,,,,,,,,,,,
